ticker,tier,score,close,entry_low,entry_high,stop,target,rr,atr14,qty,capital_at_risk,rsi14,weekly_rsi,bb_rank,sector,sector_rank,trend,pullback,momentum,squeeze,vol,quality,sect_bonus,mtf_bonus,inst_bonus,penalty,rationale
NAVINFLUOR.NS,A,90,6471.5,6439.14,6484.44,6127.71,7159.09,2.0,229.2,15,5157.0,60.4,60.6,0.63,Basic Materials,8,25,0,10,0,10,20,-5,10,10,5,uptrend + rising MA + MACD flip + vol surge + RS>idx + quality(20) + wkly RSI ok + accumulation
SCHAEFFLER.NS,B,80,4086.7,4066.27,4094.87,3869.14,4521.82,2.0,145.04,24,5221.0,57.0,55.9,0.3,Consumer Cyclical,5,25,0,10,0,0,20,0,10,5,0,uptrend + rising MA + MACD flip + RS>idx + quality(20) + wkly RSI ok + accumulation
FEDERALBNK.NS,B,80,294.35,292.88,294.94,280.83,321.4,2.0,9.02,339,4585.0,61.8,64.0,0.65,Financial Services,7,25,0,10,0,0,15,0,10,10,0,uptrend + rising MA + MACD flip + RS>idx + quality(15) + wkly RSI ok + accumulation
GLENMARK.NS,B,70,2230.7,2219.55,2235.16,2129.0,2434.11,2.0,67.8,44,4475.0,59.1,64.0,0.65,Healthcare,10,25,0,10,0,0,15,-5,10,5,5,uptrend + rising MA + MACD flip + RS>idx + quality(15) + wkly RSI ok + accumulation
BEL.NS,B,70,457.55,455.26,458.47,439.35,493.95,2.0,12.13,218,3968.0,61.9,60.5,0.88,Industrials,4,25,0,10,0,0,20,0,10,5,10,uptrend + rising MA + MACD flip + RS>idx + quality(20) + wkly RSI ok + accumulation + penalty(-10)
UNIONBANK.NS,B,70,189.29,188.34,189.67,178.5,210.88,2.0,7.2,528,5699.0,57.4,62.8,0.55,Financial Services,7,25,0,10,0,0,10,0,10,5,0,uptrend + rising MA + MACD flip + RS>idx + quality(10) + wkly RSI ok + accumulation
CUB.NS,B,70,265.75,264.42,266.28,248.5,300.25,2.0,11.5,376,6487.0,57.8,53.2,0.47,Financial Services,7,15,0,10,0,10,15,0,10,10,0,uptrend + MACD flip + vol surge + quality(15) + wkly RSI ok + accumulation
AARTIIND.NS,B,65,445.65,443.42,446.54,421.64,493.67,2.0,16.01,224,5378.0,60.0,61.3,0.42,Basic Materials,8,25,0,10,0,0,10,-5,10,5,5,uptrend + rising MA + MACD flip + RS>idx + quality(10) + wkly RSI ok + accumulation
SUNTV.NS,B,65,648.45,645.21,649.75,610.53,724.3,2.0,25.28,154,5840.0,66.0,61.0,0.55,Communication Services,6,25,0,10,0,0,5,0,10,5,0,uptrend + rising MA + MACD flip + RS>idx + wkly RSI ok + accumulation
TIINDIA.NS,B,65,2873.1,2858.73,2878.85,2717.4,3184.5,2.0,103.8,34,5294.0,67.6,61.4,0.32,Industrials,4,10,0,10,0,10,5,0,10,10,0,MACD flip + vol surge + RS>idx + wkly RSI ok + accumulation
OIL.NS,B,65,471.7,469.34,472.64,448.69,517.73,2.0,15.34,211,4856.0,50.2,57.6,0.05,Energy,-1,10,20,0,15,0,5,0,10,5,0,pullback + RSI rising + BB squeeze + wkly RSI ok + accumulation
NAM-INDIA.NS,B,65,1003.0,997.99,1005.01,941.28,1126.43,2.0,41.14,99,6110.0,63.5,63.2,1.0,Financial Services,7,25,0,10,0,0,15,0,10,5,10,uptrend + rising MA + MACD flip + RS>idx + quality(15) + wkly RSI ok + accumulation + penalty(-10)
CANBK.NS,WATCH,60,142.74,142.03,143.03,135.54,157.14,2.0,4.8,700,5040.0,55.9,53.1,0.75,Financial Services,7,15,0,10,0,0,20,0,10,5,0,uptrend + MACD flip + quality(20) + wkly RSI ok + accumulation
TORNTPOWER.NS,WATCH,60,1606.3,1598.27,1609.51,1527.89,1763.12,2.0,52.27,62,4861.0,71.0,63.0,1.0,Utilities,3,25,0,10,0,10,10,10,10,5,30,uptrend + rising MA + MACD flip + vol surge + RS>idx + quality(10) + hot sector + wkly RSI ok + accumulation + penalty(-30)
BHARATFORG.NS,WATCH,55,1866.2,1856.87,1869.93,1771.52,2055.57,2.0,63.12,53,5018.0,62.4,66.9,0.48,Consumer Cyclical,5,25,0,10,0,0,10,0,0,0,0,uptrend + rising MA + MACD flip + RS>idx + quality(10)
GICRE.NS,WATCH,55,395.9,393.92,396.69,376.08,435.54,2.0,13.21,252,4994.0,59.7,56.2,1.0,Financial Services,7,25,0,10,0,0,5,0,10,5,10,uptrend + rising MA + MACD flip + RS>idx + wkly RSI ok + accumulation + penalty(-10)
DIXON.NS,WATCH,55,11211.0,11154.94,11233.42,10602.84,12427.31,2.0,405.44,8,4865.0,58.8,43.2,0.33,Technology,2,10,0,10,0,0,15,10,5,5,0,MACD flip + quality(15) + hot sector + wkly RSI ok + accumulation
